Mã Khách Hàng (CIF),Phân Cấp Rủi Ro,Biện Pháp Vận Hành,Luận Chứng Toán Học AI (Top 3 SHAP Drivers)
743165,Critical,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'total_trans_amount'=2,668,370,000 VND (Điểm phạt SHAP: +4.547) || [2] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +4.485) || [3] Biến 'avg_trans_amount'=148,242,778 VND (Điểm phạt SHAP: +0.792)"
628837,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=3.0 (Điểm phạt SHAP: +7.942) || [2] Biến 'total_trans_amount'=48,878,500 VND (Điểm phạt SHAP: +3.958) || [3] Biến 'password_change_count'=3.0 (Điểm phạt SHAP: +0.345)"
711993,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +7.163) || [2] Biến 'total_trans_amount'=299,263,413 VND (Điểm phạt SHAP: +4.068) || [3] Biến 'password_change_count'=1.0 (Điểm phạt SHAP: +0.303)"
375041,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +7.971) || [2] Biến 'total_trans_amount'=92,923,000 VND (Điểm phạt SHAP: +3.945) || [3] Biến 'password_change_count'=1.0 (Điểm phạt SHAP: +0.334)"
271999,Critical,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=3.0 (Điểm phạt SHAP: +4.704) || [2] Biến 'total_trans_amount'=477,671,921 VND (Điểm phạt SHAP: +4.470) || [3] Biến 'avg_trans_amount'=59,708,990 VND (Điểm phạt SHAP: +0.815)"
117493,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +8.088) || [2] Biến 'total_trans_amount'=28,674,000 VND (Điểm phạt SHAP: +3.874) || [3] Biến 'password_change_count'=1.0 (Điểm phạt SHAP: +0.334)"
433032,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +8.270) || [2] Biến 'total_trans_amount'=13,971,000 VND (Điểm phạt SHAP: +3.860) || [3] Biến 'password_change_count'=1.0 (Điểm phạt SHAP: +0.334)"
502493,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=5.0 (Điểm phạt SHAP: +7.646) || [2] Biến 'total_trans_amount'=1,376,534,009 VND (Điểm phạt SHAP: +4.070) || [3] Biến 'password_change_count'=1.0 (Điểm phạt SHAP: +0.324)"
969864,Critical,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +4.601) || [2] Biến 'total_trans_amount'=50,208,600 VND (Điểm phạt SHAP: +4.436) || [3] Biến 'avg_trans_amount'=25,104,300 VND (Điểm phạt SHAP: +0.815)"
141041,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +7.751) || [2] Biến 'total_trans_amount'=394,670,000 VND (Điểm phạt SHAP: +4.038) || [3] Biến 'password_change_count'=1.0 (Điểm phạt SHAP: +0.334)"
430622,Critical,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=3.0 (Điểm phạt SHAP: +4.695) || [2] Biến 'total_trans_amount'=3,337,858,597 VND (Điểm phạt SHAP: +4.469) || [3] Biến 'avg_trans_amount'=60,688,338 VND (Điểm phạt SHAP: +0.806)"
480889,Critical,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +4.766) || [2] Biến 'total_trans_amount'=1,004,709,865 VND (Điểm phạt SHAP: +4.531) || [3] Biến 'avg_trans_amount'=50,235,493 VND (Điểm phạt SHAP: +0.823)"
404559,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +7.953) || [2] Biến 'total_trans_amount'=73,854,000 VND (Điểm phạt SHAP: +3.940) || [3] Biến 'password_change_count'=2.0 (Điểm phạt SHAP: +0.335)"
477178,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=3.0 (Điểm phạt SHAP: +6.521) || [2] Biến 'total_trans_amount'=857,890,000 VND (Điểm phạt SHAP: +4.289) || [3] Biến 'avg_trans_amount'=29,582,414 VND (Điểm phạt SHAP: +0.495)"
251869,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +8.065) || [2] Biến 'total_trans_amount'=3,890,000 VND (Điểm phạt SHAP: +3.873) || [3] Biến 'password_change_count'=1.0 (Điểm phạt SHAP: +0.334)"
446816,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=3.0 (Điểm phạt SHAP: +8.170) || [2] Biến 'total_trans_amount'=38,316,000 VND (Điểm phạt SHAP: +3.873) || [3] Biến 'password_change_count'=1.0 (Điểm phạt SHAP: +0.335)"
169676,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +7.842) || [2] Biến 'total_trans_amount'=1,492,000 VND (Điểm phạt SHAP: +3.712) || [3] Biến 'password_change_count'=2.0 (Điểm phạt SHAP: +0.319)"
579724,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=3.0 (Điểm phạt SHAP: +7.985) || [2] Biến 'total_trans_amount'=16,733,500 VND (Điểm phạt SHAP: +3.888) || [3] Biến 'password_change_count'=2.0 (Điểm phạt SHAP: +0.334)"
150311,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +8.172) || [2] Biến 'total_trans_amount'=18,681,000 VND (Điểm phạt SHAP: +3.912) || [3] Biến 'password_change_count'=4.0 (Điểm phạt SHAP: +0.319)"
746382,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +7.909) || [2] Biến 'total_trans_amount'=57,800,000 VND (Điểm phạt SHAP: +3.950) || [3] Biến 'password_change_count'=1.0 (Điểm phạt SHAP: +0.334)"
465741,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +8.018) || [2] Biến 'total_trans_amount'=8,600,000 VND (Điểm phạt SHAP: +3.917) || [3] Biến 'password_change_count'=1.0 (Điểm phạt SHAP: +0.334)"
924259,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +7.846) || [2] Biến 'total_trans_amount'=102,968,710 VND (Điểm phạt SHAP: +4.003) || [3] Biến 'password_change_count'=1.0 (Điểm phạt SHAP: +0.334)"
982260,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +7.358) || [2] Biến 'total_trans_amount'=126,361,818 VND (Điểm phạt SHAP: +4.048) || [3] Biến 'password_change_count'=2.0 (Điểm phạt SHAP: +0.313)"
528789,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +7.103) || [2] Biến 'total_trans_amount'=40,250,901 VND (Điểm phạt SHAP: +4.022) || [3] Biến 'password_change_count'=2.0 (Điểm phạt SHAP: +0.307)"
458032,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=3.0 (Điểm phạt SHAP: +8.015) || [2] Biến 'total_trans_amount'=13,690,101 VND (Điểm phạt SHAP: +3.906) || [3] Biến 'password_change_count'=2.0 (Điểm phạt SHAP: +0.334)"
510139,Critical,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'total_trans_amount'=5,496,899,393 VND (Điểm phạt SHAP: +4.545) || [2] Biến 'unique_devices'=7.0 (Điểm phạt SHAP: +4.506) || [3] Biến 'avg_trans_amount'=33,314,542 VND (Điểm phạt SHAP: +0.773)"
998148,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=4.0 (Điểm phạt SHAP: +7.999) || [2] Biến 'total_trans_amount'=67,015,461 VND (Điểm phạt SHAP: +3.963) || [3] Biến 'password_change_count'=5.0 (Điểm phạt SHAP: +0.328)"
296298,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +8.085) || [2] Biến 'total_trans_amount'=45,970,000 VND (Điểm phạt SHAP: +3.939) || [3] Biến 'password_change_count'=1.0 (Điểm phạt SHAP: +0.334)"
404313,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +7.766) || [2] Biến 'total_trans_amount'=158,188,200 VND (Điểm phạt SHAP: +4.017) || [3] Biến 'password_change_count'=2.0 (Điểm phạt SHAP: +0.324)"
327201,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=3.0 (Điểm phạt SHAP: +7.854) || [2] Biến 'total_trans_amount'=116,524,090 VND (Điểm phạt SHAP: +4.006) || [3] Biến 'password_change_count'=4.0 (Điểm phạt SHAP: +0.319)"
823213,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +7.844) || [2] Biến 'total_trans_amount'=80,050,000 VND (Điểm phạt SHAP: +3.944) || [3] Biến 'password_change_count'=3.0 (Điểm phạt SHAP: +0.345)"
426391,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +8.227) || [2] Biến 'total_trans_amount'=2,500,000 VND (Điểm phạt SHAP: +3.863) || [3] Biến 'password_change_count'=1.0 (Điểm phạt SHAP: +0.327)"
215730,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=4.0 (Điểm phạt SHAP: +8.188) || [2] Biến 'total_trans_amount'=44,016,001 VND (Điểm phạt SHAP: +3.866) || [3] Biến 'password_change_count'=1.0 (Điểm phạt SHAP: +0.334)"
190388,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +7.950) || [2] Biến 'total_trans_amount'=39,510,095 VND (Điểm phạt SHAP: +3.889) || [3] Biến 'password_change_count'=3.0 (Điểm phạt SHAP: +0.345)"
493671,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=3.0 (Điểm phạt SHAP: +8.030) || [2] Biến 'total_trans_amount'=13,464,000 VND (Điểm phạt SHAP: +3.881) || [3] Biến 'password_change_count'=1.0 (Điểm phạt SHAP: +0.335)"
108941,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +8.004) || [2] Biến 'total_trans_amount'=1,507,688 VND (Điểm phạt SHAP: +3.878) || [3] Biến 'password_change_count'=1.0 (Điểm phạt SHAP: +0.334)"
250921,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=3.0 (Điểm phạt SHAP: +7.909) || [2] Biến 'total_trans_amount'=13,510,000 VND (Điểm phạt SHAP: +3.952) || [3] Biến 'password_change_count'=3.0 (Điểm phạt SHAP: +0.345)"
495671,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +7.859) || [2] Biến 'total_trans_amount'=62,002,242 VND (Điểm phạt SHAP: +3.976) || [3] Biến 'password_change_count'=2.0 (Điểm phạt SHAP: +0.334)"
416694,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +8.117) || [2] Biến 'total_trans_amount'=8,660,000 VND (Điểm phạt SHAP: +3.860) || [3] Biến 'password_change_count'=2.0 (Điểm phạt SHAP: +0.334)"
979093,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=4.0 (Điểm phạt SHAP: +7.854) || [2] Biến 'total_trans_amount'=11,350,000 VND (Điểm phạt SHAP: +3.917) || [3] Biến 'password_change_count'=2.0 (Điểm phạt SHAP: +0.334)"
396419,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=3.0 (Điểm phạt SHAP: +7.252) || [2] Biến 'total_trans_amount'=324,549,232 VND (Điểm phạt SHAP: +4.008) || [3] Biến 'burst_max'=7.0 (Điểm phạt SHAP: +0.495)"
12995,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=5.0 (Điểm phạt SHAP: +6.634) || [2] Biến 'total_trans_amount'=1,479,202,797 VND (Điểm phạt SHAP: +4.281) || [3] Biến 'avg_trans_amount'=18,261,763 VND (Điểm phạt SHAP: +0.461)"
338197,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +8.204) || [2] Biến 'total_trans_amount'=3,044,000 VND (Điểm phạt SHAP: +3.870) || [3] Biến 'password_change_count'=1.0 (Điểm phạt SHAP: +0.335)"
298050,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=4.0 (Điểm phạt SHAP: +8.098) || [2] Biến 'total_trans_amount'=26,109,300 VND (Điểm phạt SHAP: +3.931) || [3] Biến 'password_change_count'=1.0 (Điểm phạt SHAP: +0.334)"
895346,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +7.266) || [2] Biến 'total_trans_amount'=121,726,458 VND (Điểm phạt SHAP: +4.119) || [3] Biến 'password_change_count'=3.0 (Điểm phạt SHAP: +0.319)"
618612,Critical,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +4.737) || [2] Biến 'total_trans_amount'=159,740,000 VND (Điểm phạt SHAP: +4.466) || [3] Biến 'avg_trans_amount'=19,967,500 VND (Điểm phạt SHAP: +0.860)"
569444,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=3.0 (Điểm phạt SHAP: +6.702) || [2] Biến 'total_trans_amount'=3,041,154,000 VND (Điểm phạt SHAP: +4.241) || [3] Biến 'avg_trans_amount'=43,445,057 VND (Điểm phạt SHAP: +0.492)"
278041,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +7.553) || [2] Biến 'total_trans_amount'=128,150,000 VND (Điểm phạt SHAP: +4.041) || [3] Biến 'password_change_count'=2.0 (Điểm phạt SHAP: +0.313)"
740301,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=6.0 (Điểm phạt SHAP: +6.929) || [2] Biến 'total_trans_amount'=330,397,257 VND (Điểm phạt SHAP: +4.156) || [3] Biến 'burst_max'=12.0 (Điểm phạt SHAP: +0.453)"
118706,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +7.993) || [2] Biến 'total_trans_amount'=41,726,745 VND (Điểm phạt SHAP: +3.958) || [3] Biến 'password_change_count'=2.0 (Điểm phạt SHAP: +0.334)"
901579,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +8.000) || [2] Biến 'total_trans_amount'=232,893,973 VND (Điểm phạt SHAP: +3.963) || [3] Biến 'password_change_count'=1.0 (Điểm phạt SHAP: +0.323)"
229765,Critical,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'total_trans_amount'=668,206,765 VND (Điểm phạt SHAP: +4.544) || [2] Biến 'unique_devices'=3.0 (Điểm phạt SHAP: +4.539) || [3] Biến 'avg_trans_amount'=20,248,690 VND (Điểm phạt SHAP: +0.830)"
965709,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=4.0 (Điểm phạt SHAP: +7.392) || [2] Biến 'total_trans_amount'=101,230,934 VND (Điểm phạt SHAP: +4.087) || [3] Biến 'password_change_count'=1.0 (Điểm phạt SHAP: +0.313)"
703262,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +7.682) || [2] Biến 'total_trans_amount'=466,660,000 VND (Điểm phạt SHAP: +4.075) || [3] Biến 'password_change_count'=2.0 (Điểm phạt SHAP: +0.306)"
350800,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=5.0 (Điểm phạt SHAP: +8.159) || [2] Biến 'total_trans_amount'=38,746,422 VND (Điểm phạt SHAP: +3.936) || [3] Biến 'password_change_count'=2.0 (Điểm phạt SHAP: +0.334)"
455957,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +7.551) || [2] Biến 'total_trans_amount'=39,859,031 VND (Điểm phạt SHAP: +4.041) || [3] Biến 'password_change_count'=1.0 (Điểm phạt SHAP: +0.302)"
828601,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +7.793) || [2] Biến 'total_trans_amount'=175,750,000 VND (Điểm phạt SHAP: +4.014) || [3] Biến 'password_change_count'=1.0 (Điểm phạt SHAP: +0.333)"
490097,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +7.923) || [2] Biến 'total_trans_amount'=12,780,000 VND (Điểm phạt SHAP: +3.959) || [3] Biến 'password_change_count'=1.0 (Điểm phạt SHAP: +0.333)"
981337,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +8.055) || [2] Biến 'total_trans_amount'=8,650,000 VND (Điểm phạt SHAP: +3.890) || [3] Biến 'password_change_count'=1.0 (Điểm phạt SHAP: +0.335)"
489344,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +8.154) || [2] Biến 'total_trans_amount'=6,060,000 VND (Điểm phạt SHAP: +3.862) || [3] Biến 'password_change_count'=1.0 (Điểm phạt SHAP: +0.335)"
508673,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=3.0 (Điểm phạt SHAP: +8.092) || [2] Biến 'total_trans_amount'=24,866,000 VND (Điểm phạt SHAP: +3.871) || [3] Biến 'password_change_count'=1.0 (Điểm phạt SHAP: +0.334)"
826942,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +7.964) || [2] Biến 'total_trans_amount'=62,800,849 VND (Điểm phạt SHAP: +3.999) || [3] Biến 'password_change_count'=2.0 (Điểm phạt SHAP: +0.334)"
