transaction_row_id,CUSTOMER_NUMBER,risk_score_0_100,risk_band,primary_cause_branch,top_shap_drivers
625393,80287,100.0,Critical,Unauthorized transfer / capital outflow,amount_vs_iqr_upper=43.5 (SHAP +25.99); is_external_transfer=1 (SHAP +7.83); daily_amount_vs_iqr_upper=42.6 (SHAP +7.81); amount_vs_ca_balance=9.61 (SHAP +2.56); night_activity_count=0 (SHAP -1.28)
1190617,293219,100.0,Critical,Account takeover / identity compromise,amount_vs_iqr_upper=2.06 (SHAP +27.38); is_external_transfer=1 (SHAP +7.19); night_activity_count=1 (SHAP +6.46); daily_amount_vs_iqr_upper=1.25 (SHAP +5.56); daily_count_vs_iqr_upper=0.571 (SHAP -1.38)
782688,413247,100.0,Critical,Account takeover / identity compromise,amount_vs_iqr_upper=3.09 (SHAP +29.78); night_activity_count=10 (SHAP +10.69); is_external_transfer=1 (SHAP +7.64); daily_amount_vs_iqr_upper=0.434 (SHAP -1.80); daily_count_vs_iqr_upper=0.345 (SHAP -1.26)
1183585,281053,100.0,Critical,Unauthorized transfer / capital outflow,amount_vs_iqr_upper=2.25 (SHAP +26.07); daily_amount_vs_iqr_upper=1.78 (SHAP +7.85); is_external_transfer=1 (SHAP +7.83); amount_vs_ca_balance=2.61 (SHAP +2.59); night_activity_count=0 (SHAP -1.29)
1183927,963903,100.0,Critical,Account takeover / identity compromise,amount_vs_iqr_upper=1.03 (SHAP +29.91); night_activity_count=4 (SHAP +8.75); is_external_transfer=1 (SHAP +7.90); daily_amount_vs_iqr_upper=0.909 (SHAP -1.36); is_new_beneficiary_after_history=1 (SHAP +1.05)
309901,99647,100.0,Critical,Unauthorized transfer / capital outflow,amount_vs_iqr_upper=2.21 (SHAP +23.23); is_external_transfer=1 (SHAP +7.64); daily_amount_vs_iqr_upper=1.97 (SHAP +6.60); daily_count_vs_iqr_upper=4 (SHAP +5.00); amount_vs_ca_balance=20.7 (SHAP +2.33)
101045,311094,100.0,Critical,Account takeover / identity compromise,amount_vs_iqr_upper=1.33 (SHAP +29.78); night_activity_count=13 (SHAP +9.75); is_external_transfer=1 (SHAP +7.61); daily_amount_vs_iqr_upper=0.599 (SHAP -1.52); is_new_beneficiary_after_history=1 (SHAP +1.31)
1190587,644239,100.0,Critical,Unauthorized transfer / capital outflow,amount_vs_iqr_upper=1.16 (SHAP +24.99); is_external_transfer=1 (SHAP +6.92); daily_amount_vs_iqr_upper=2.71 (SHAP +4.73); night_activity_count=7 (SHAP +4.14); daily_count_vs_iqr_upper=2 (SHAP +3.62)
1190594,644239,100.0,Critical,Unauthorized transfer / capital outflow,amount_vs_iqr_upper=1.16 (SHAP +24.99); is_external_transfer=1 (SHAP +6.92); daily_amount_vs_iqr_upper=2.71 (SHAP +4.73); night_activity_count=7 (SHAP +4.14); daily_count_vs_iqr_upper=2 (SHAP +3.62)
1190596,644239,100.0,Critical,Unauthorized transfer / capital outflow,amount_vs_iqr_upper=1.16 (SHAP +25.88); is_external_transfer=1 (SHAP +8.12); daily_amount_vs_iqr_upper=1.36 (SHAP +7.82); amount_vs_ca_balance=7.55 (SHAP +2.55); night_activity_count=0 (SHAP -1.24)
1190607,293219,100.0,Critical,Account takeover / identity compromise,is_new_device_after_history=1 (SHAP +23.92); is_external_transfer=1 (SHAP +15.36); night_activity_count=5 (SHAP +9.16); amount_vs_iqr_upper=0.49 (SHAP -5.00); is_new_beneficiary_after_history=1 (SHAP +2.23)
